,Video file,Finished,Capstone,Project,We
0,1-Capstone.mp4,0.0,1.0,0.0,0.0
1,1-Finished.mp4,1.0,0.0,0.0,0.0
2,1-Project.mp4,0.0,0.0,1.0,0.0
3,1-We.mp4,0.0,0.0,0.0,1.0
4,10-Capstone.mp4,0.0,1.0,0.0,0.0
5,10-Finished.mp4,1.0,0.0,0.0,0.0
6,10-Project.mp4,0.0,0.0,1.0,0.0
7,10-We.mp4,0.0,0.0,0.0,1.0
8,11-Capstone.mp4,0.0,1.0,0.0,0.0
9,11-Finished.mp4,1.0,0.0,0.0,0.0
10,11-Project.mp4,0.0,0.0,1.0,0.0
11,11-We.mp4,0.0,0.0,0.0,1.0
12,12-Capstone.mp4,0.0,1.0,0.0,0.0
13,12-Finished.mp4,1.0,0.0,0.0,0.0
14,12-Project.mp4,0.0,0.0,1.0,0.0
15,12-We.mp4,0.0,0.0,0.0,1.0
16,13-Capstone.mp4,0.0,1.0,0.0,0.0
17,13-Finished.mp4,1.0,0.0,0.0,0.0
18,13-Project.mp4,0.0,0.0,1.0,0.0
19,13-We.mp4,0.0,0.0,0.0,1.0
20,14-Capstone.mp4,0.0,1.0,0.0,0.0
21,14-Finished.mp4,1.0,0.0,0.0,0.0
22,14-Project.mp4,0.0,0.0,1.0,0.0
23,14-We.mp4,0.0,0.0,0.0,1.0
24,15-Capstone.mp4,0.0,1.0,0.0,0.0
25,15-Finished.mp4,1.0,0.0,0.0,0.0
26,15-Project.mp4,0.0,0.0,1.0,0.0
27,15-We.mp4,0.0,0.0,0.0,1.0
28,16-Capstone.mp4,0.0,1.0,0.0,0.0
29,16-Finished.mp4,1.0,0.0,0.0,0.0
30,16-Project.mp4,0.0,0.0,1.0,0.0
31,16-We.mp4,0.0,0.0,0.0,1.0
32,17-Capstone.mp4,0.0,1.0,0.0,0.0
33,17-Finished.mp4,1.0,0.0,0.0,0.0
34,17-Project.mp4,0.0,0.0,1.0,0.0
35,17-We.mp4,0.0,0.0,0.0,1.0
36,18-Capstone.mp4,0.0,1.0,0.0,0.0
37,18-Finished.mp4,1.0,0.0,0.0,0.0
38,18-Project.mp4,0.0,0.0,1.0,0.0
39,18-We.mp4,0.0,0.0,0.0,1.0
40,19-Capstone.mp4,0.0,1.0,0.0,0.0
41,19-Finished.mp4,1.0,0.0,0.0,0.0
42,19-Project.mp4,0.0,0.0,1.0,0.0
43,19-We.mp4,0.0,0.0,0.0,1.0
44,2-Capstone.mp4,0.0,1.0,0.0,0.0
45,2-Finished.mp4,1.0,0.0,0.0,0.0
46,2-Project.mp4,0.0,0.0,1.0,0.0
47,2-We.mp4,0.0,0.0,0.0,1.0
48,20-Capstone.mp4,0.0,1.0,0.0,0.0
49,20-Finished.mp4,1.0,0.0,0.0,0.0
50,20-Project.mp4,0.0,0.0,1.0,0.0
51,20-We.mp4,0.0,0.0,0.0,1.0
52,3-Capstone.mp4,0.0,1.0,0.0,0.0
53,3-Finished.mp4,1.0,0.0,0.0,0.0
54,3-Project.mp4,0.0,0.0,1.0,0.0
55,3-We.mp4,0.0,0.0,0.0,1.0
56,4-Capstone.mp4,0.0,1.0,0.0,0.0
57,4-Finished.mp4,1.0,0.0,0.0,0.0
58,4-Project.mp4,0.0,0.0,1.0,0.0
59,4-We.mp4,0.0,0.0,0.0,1.0
60,5-Capstone.mp4,0.0,1.0,0.0,0.0
61,5-Finished.mp4,1.0,0.0,0.0,0.0
62,5-Project.mp4,0.0,0.0,1.0,0.0
63,5-We.mp4,0.0,0.0,0.0,1.0
64,6-Capstone.mp4,0.0,1.0,0.0,0.0
65,6-Finished.mp4,1.0,0.0,0.0,0.0
66,6-Project.mp4,0.0,0.0,1.0,0.0
67,6-We.mp4,0.0,0.0,0.0,1.0
68,7-Capstone.mp4,0.0,1.0,0.0,0.0
69,7-Finished.mp4,1.0,0.0,0.0,0.0
70,7-Project.mp4,0.0,0.0,1.0,0.0
71,7-We.mp4,0.0,0.0,0.0,1.0
72,8-Capstone.mp4,0.0,1.0,0.0,0.0
73,8-Finished.mp4,1.0,0.0,0.0,0.0
74,8-Project.mp4,0.0,0.0,1.0,0.0
75,8-We.mp4,0.0,0.0,0.0,1.0
76,9-Capstone.mp4,0.0,1.0,0.0,0.0
77,9-Finished.mp4,1.0,0.0,0.0,0.0
78,9-Project.mp4,0.0,0.0,1.0,0.0
79,9-We.mp4,0.0,0.0,0.0,1.0
